Enabled,Paganahin
"Billing Address","Address ng Pagsisingilan"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Pakiusap gumamit lang ng mga letra (a-z o A-Z) o mga numiro (0-9) sa patlang na ito. Walang mga puwang o iba pang mga karakter ang pinahihintulutan.<br />Magkatulad tignan na mga karakter (e.g ""i"",""I"", ""1"") pagbaba ng pag-asa sa kasalukuyang pagkakakilanlan sa pamamagitan ng mamimili."
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Pakiusap tandaan na ang mga setting na iyon ay nalalapat sa indibidwal na mga item sa cart, hindi sa buong cart."
"Something went wrong while processing your order. Please try again later.","May naganap ng mali habang pinuroseso ang iyong order. Pakiusap subukan muli mamaya."
"Payment Method","Paraan ng Pagbayad"
"Your order number is: %1.","Ang numero ng iyong order ay: %1."
"Shipping Address","Address ng pagpapadala"
"Cron configuration options for group:","Mga pagpipilian sa configuration ng Cron para sa grupo:"
"Payment method is not defined for instance purchase.","Ang paraan ng pagbabayad ay hindi tinukoy para sa pagkakataong makabili."
"Shipping address is not defined for instance purchase.","Ang address sa pagpapadala ay hindi tinukoy para sa pagkakataong makabili."
"Billing address is not defined for instance purchase.","Ang Billing address ay hindi tinukoy para sa pagkakataong makabili."
"Shipping method is not defined for instance purchase.","Ang paraan ng Pagpapadala ay hindi tinukoy para sa pagkakataon makabili."
"Specified payment method is not available now.","Ang tinutukoy na paraan ng pagbabayad ay hindi magagamit ngayon."
"Specified shipping method is not available.","Ang tinutukoy na paraan sa pagpapadala ay hindi magagamit."
"Appropriate shipping method is not available.","Ang nararapat na paraan ng pagpapadala ay hindi magagamit."
"Cheapest price","Ang Pinakamababang presyo"
"Instant purchase integration not available for token.","Ang passasama-sama sa agarang pagbili ay hindi magagamit para sa token."
"Instant Purchase","Agarang Pagbili"
"Instant Purchase Confirmation","Kumpirmasyon sa Agarang Pagbili"
"Are you sure you want to place order and pay?","Sigurado ka ba na gusto mong ilagay ang order at magbayad?"
"Shipping Method","Paraan ng Pagpapadala"
"Button Text","Buton ng Teksto"
Other,"Iba pa"
